微博id,微博正文,发布时间,点赞数,转发数,评论数
Ob5xVyreu,#小米称网传保险杠掉漆SU7Max经改装#小米汽车官方回应来了，原来这事和想象的不一样，事实是人为原因导致，并非出厂问题。小米汽车流量很大，很多事还是要擦亮双眼，别着急下结论  原图 ,2024-04-23 21:06,147,8,51
Ob5jKt92r,#陈震直播回应小米SU7争议#这不比春晚好看？本质还是两个人认知差异太大，没有谁对谁错，只是大家看法不一样陈震：我收钱，我卖的是时间，不是卖的观点，不希望你们理解。  原图 ,2024-04-23 20:31,161,5,37
Ob57MnGZg,极星手机Polestar Phone发布，16GB+1TB组合，售价7388元，定位“车手互联生态的 AI 旗舰手机”。  [组图共2张] 原图 ,2024-04-23 20:02,146,5,40
Ob406yBw9,都是国产旗舰轿车，都会在北京车展亮相，这三款新车你最喜欢哪个？仰望U7腾势Z9 GT享界S9（华为和北汽一起做的）  [组图共3张] 原图 ,2024-04-23 17:10,149,7,36
Ob3mZjEKl,24.98万，这两辆车买哪个？A：问界新M5B：理想L6 Pro  [组图共2张] 原图 ,2024-04-23 15:34,366,3,215
Ob2E8h9WH,三星Galaxy C55手机上线：8+256G售价1999元，12+256G售价2299元骁龙7 Gen1处理器5000mAh电池，45W充电前置5000万后置5000万OIS主摄+800万超广角+200万微距镜头6.7英寸Super AMOLED+屏幕FHD+分辨率，120Hz刷新率屏内指纹识别素皮后盖+塑料中框4代系统升级更新厚7.8mm，重180g  [组图共4张] 原图 ,2024-04-23 13:43,150,11,59
Ob1hrqMJM,雷军：2024年小米SU7交付目标超过10万台！大家觉得小米汽车能够完成年销10万辆目标？🤔  [组图共2张] 原图 ,2024-04-23 10:15,171,10,45
Ob0Vfr2J8,中型插混车型，比亚迪海豹06 DM-i内饰首发，两个字评价内饰？  [组图共11张] 原图 ,2024-04-23 09:20,206,14,62
Ob0DfmESZ,2024年1-3月国内各级别车型销量TOP20轿车销量前3：比亚迪秦PLUS、轩逸、朗逸SUV销量前3：特斯拉Model Y、比亚迪宋PLUS、问界M7MPV销量前3：腾势D9、别克GL8、赛那 轿车销量这块，小米SU7努努力今年就能进前20  [组图共3张] 原图 ,2024-04-23 08:36,136,5,23
OaZV9amKG,#微信占了我114g内存#占了75G。太占地方了，很多东西还不能删，只能简单清理下。哪个手机品牌先发布个2TB手机？  原图 ,2024-04-23 06:47,151,1,56
